0,1,2,3,4,5,6,7,8,9
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.05,71,4,.0694,65
402265,7,.04,71,3,.02,71,1,.01,60
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0389,71,6,.0378,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,9,.0694,71,3,.04,71
402265,14,.08,71,10,.0694,71,8,.12,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,12,.07,71,7,.0433,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.08,65,8,.05,71
402265,7,.04,71,8,.05,71,6,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0439,71,4,.03,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.08,65,4,.02,71
402265,9,.05,71,7,.04,78,6,.04,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,10,.0611,78,7,.0617,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,14,.1,65,5,.06,60
402265,11,.0694,71,10,.06,71,4,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,1,.0089,61,4,.0222,71,3,.0156,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.0694,71,5,.04,65
402265,8,.05,71,9,.05,78,6,.05,71
402266,0,0,0,0,0,0,0,0,0
402267,1,.0017,320,7,.0406,71,6,.0339,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,7,.04,71,4,.04,71
402265,7,.04,71,5,.04,71,3,.02,65
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,8,.0533,71,4,.0772,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.0694,71,4,.05,65
402265,4,.02,71,2,.01,71,2,.01,71
402266,0,0,0,0,0,0,0,0,0
402267,2,.0022,495,12,.0917,65,9,.0878,56
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.0694,71,8,.05,71
402265,9,.05,71,11,.0694,65,3,.02,65
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0378,71,8,.0411,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.06,71,6,.06,65
402265,15,.11,65,12,.08,65,9,.1,60
402266,0,0,0,0,0,0,0,0,0
402267,1,.0056,97,9,.0533,71,5,.0339,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.0694,78,4,.03,60
402265,6,.04,65,9,.06,71,7,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,1,.0083,65,6,.0361,71,5,.0356,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,14,.09,65,5,.08,71
402265,5,.03,71,8,.05,71,2,.01,71
402266,0,0,0,0,0,0,0,0,0
402267,1,.0017,320,8,.0483,71,5,.0283,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,7,.04,71,4,.04,71
402265,8,.05,71,11,.06,71,3,.03,60
402266,0,0,0,0,0,0,0,0,0
402267,1,.0039,139,10,.0611,71,5,.0256,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.06,71,6,.09,60
402265,10,.06,71,12,.0694,71,5,.03,65
402266,0,0,0,0,0,0,0,0,0
402267,4,.0111,196,5,.03,71,4,.0417,71
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.0694,71,6,.1,60
402265,7,.05,71,5,.03,78,6,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,3,.0061,268,9,.0589,65,8,.0617,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
